Reference, Value, Footprint, Datasheet
U2,STM32F103C8,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,
P4,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
U1,NCP1117ST33T3G,acronet:SOT223_S,
R16,R,Resistors_SMD:R_0805,
X1,CRYSTAL,Crystals:Crystal_HC49-SD_SMD,
C4,C,Capacitors_SMD:C_1206,
C5,C,Capacitors_SMD:C_1206,
P5,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C1,C,Capacitors_SMD:C_1206,
C2,C,Capacitors_SMD:C_1206,
C3,C,Capacitors_SMD:C_1206,
C6,C,Capacitors_SMD:C_1206,
C8,C,Capacitors_SMD:C_1206,
C9,C,Capacitors_SMD:C_1206,
D1,LED,LEDs:LED-0805,
D2,LED,LEDs:LED-0805,
D3,LED,LEDs:LED-0805,
R19,R,Resistors_SMD:R_0805,
R18,R,Resistors_SMD:R_0805,
R17,R,Resistors_SMD:R_0805,
P6,CONN_01X05,w_conn_screw:mors_5p,
R6,R,Resistors_SMD:R_0805,
R7,R,Resistors_SMD:R_0805,
R13,R,Resistors_SMD:R_0805,
P9,CONN_01X04,jst-ph:jst-ph-JST-PH4,
P7,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
P2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
C7,C,Capacitors_SMD:C_1206,
IC1,6N136,Power_Integrations:SMD-8,
R8,R,Resistors_SMD:R_0805,
R1,R,Resistors_SMD:R_0805,
IC2,6N136,Power_Integrations:SMD-8,
R9,R,Resistors_SMD:R_0805,
R2,R,Resistors_SMD:R_0805,
IC3,6N136,Power_Integrations:SMD-8,
R10,R,Resistors_SMD:R_0805,
R3,R,Resistors_SMD:R_0805,
IC4,6N136,Power_Integrations:SMD-8,
R11,R,Resistors_SMD:R_0805,
R4,R,Resistors_SMD:R_0805,
IC5,6N136,Power_Integrations:SMD-8,
R12,R,Resistors_SMD:R_0805,
R5,R,Resistors_SMD:R_0805,
P1,CONN_01X04,w_conn_screw:mors_4p,
P3,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
C11,CP2,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Reflow,
C12,C,Capacitors_SMD:C_1206,
C13,C,Capacitors_SMD:C_1206,
C10,C,Capacitors_SMD:C_1206,
R14,0,Resistors_SMD:R_0805,
R15,NM,Resistors_SMD:R_0805,
R20,0,Resistors_SMD:R_0805,
R21,NM,Resistors_SMD:R_0805,
R22,0,Resistors_SMD:R_0805,
R23,NM,Resistors_SMD:R_0805,
R24,0,Resistors_SMD:R_0805,
R25,NM,Resistors_SMD:R_0805,
C15,C,Capacitors_SMD:C_1206,
DD1,SN74LVC8T245,Housings_SSOP:SSOP-24_5.3x8.2mm_Pitch0.65mm,
C16,C,Capacitors_SMD:C_1206,
C17,C,Capacitors_SMD:C_1206,
C14,C,Capacitors_SMD:C_1206,
P8,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
